season,team,incident,type,min
20/21,Leeds,Penalty cancelled after Diego Llorente adjudged not to have fouled Nathan Tella,FOR,33
20/21,Leeds,Luke Ayling goal disallowed for offside against Tyler Roberts in the build-up,AGAINST,8
20/21,Leeds,Liam Cooper card upgraded from yellow to red for high challenge on Gabriel Jesus,AGAINST,45
20/21,Manchester City,Penalty awarded (missed by Kevin De Bruyne) for handball against Joe Gomez,FOR,41
20/21,Manchester City,Aymeric Laporte goal disallowed for handball by Gabriel Jesus,AGAINST,27
20/21,Manchester City,Bailey Peacock-Farrell own goal disallowed for offside in the build-up against Gabriel Jesus,AGAINST,77
20/21,Manchester City,Penalty cancelled for offside against Marcus Rashford,FOR,38
20/21,Manchester City,Ilkay Gundogan goal awarded after incorrect offside against Bernardo Silva,FOR,20
20/21,Manchester City,Gabriel Jesus goal allowed after incorrect offside,FOR,90
20/21,Manchester City,Liam Cooper card upgraded from yellow to red for high challenge on Gabriel Jesus,FOR,45
20/21,Manchester City,John Stones yellow changed to red for high challenge on Jacob Ramsey,AGAINST,42
20/21,Manchester City,Penalty awarded (scored by Joelinton) after incorrect offside against Allan Saint-Maximin,AGAINST,45
20/21,Manchester United,Penalty awarded (missed by Jordan Ayew) for handball by Victor Lindelof,AGAINST,70
20/21,Manchester United,Penalty retaken (scored by Wilfried Zaha) for encroachment by David de Gea,AGAINST,73
20/21,Manchester United,Penalty cancelled for challenge on Aaron Connolly by Paul Pogba,FOR,48
20/21,Manchester United,Marcus Rashford goal disallowed for offside,AGAINST,52
20/21,Manchester United,Penalty awarded (scored by Bruno Fernandes) for handball against Neal Maupay,FOR,90
20/21,Manchester United,Bruno Fernandes goal ruled out for offside against Juan Mata,AGAINST,19
20/21,Manchester United,Penalty awarded (missed by Bruno Fernandes) for foul on Marcus Rashford by Jamal Lewis,FOR,54
20/21,Manchester United,WBA penalty cancelled after Bruno Fernandes adjudged not to have fouled Conor Gallagher,FOR,47
20/21,Manchester United,Penalty retake (scored by Bruno Fernandes) after encroachment by Sam Johnstone,FOR,56
20/21,Manchester United,Penalty cancelled for offside against Marcus Rashford,AGAINST,38
20/21,Manchester United,"Man United free-kick and Robbie Brady red-card review cancelled for foul in the build-up by Luke Shaw, who was booked",NEUTRAL,0
20/21,Manchester United,Penalty cancelled after Kayne Ramsay's foul on Edinson Cavani ruled outside the area,AGAINST,42
20/21,Manchester United,Goal for Che Adams disallowed for offside,FOR,53
20/21,Manchester United,Jan Bednarek sent off for denying an obvious goal-scoring opportunity,FOR,53
20/21,Manchester United,Penalty cancelled after Semi Ajayi adjudged not to have fouled Harry Maguire,AGAINST,64
20/21,Manchester United,Penalty review rejected for handball against Callum Hudson-Odoi,AGAINST,15
20/21,Manchester United,Edinson Cavani goal ruled out for foul on Son Heung-Min by Scott McTominay,AGAINST,33
20/21,Manchester United,Penalty cancelled for challenge on Nathaniel Phillips by Eric Bailly,FOR,27
20/21,Manchester United,Penalty awarded (missed by Juan Mata but scored on the rebound) for foul on Donny van de Beek by Romain Saiss,FOR,45
20/21,Newcastle,Neal Maupay goal allowed after being ruled out for offside,AGAINST,8
20/21,Newcastle,Yves Bissouma sent off for dangerous challenge on Jamal Lewis,FOR,86
20/21,Newcastle,Penalty awarded (scored by Callum Wilson) for handball by Eric Dier,FOR,90
20/21,Newcastle,Bruno Fernandes goal ruled out for offside against Juan Mata,FOR,19
20/21,Newcastle,Penalty awarded (missed by Bruno Fernandes) for foul on Marcus Rashford by Jamal Lewis,AGAINST,54
20/21,Newcastle,Joachim Andersen sent off for denying a goal-scoring opportunity following challenge on Callum Wilson,FOR,62
20/21,Newcastle,Penalty awarded (scored by Billy Sharp) for handball by Federico Fernandez,AGAINST,73
20/21,Newcastle,Penalty awarded (scored by Jesse Lingard) for handball by Ciaran Clark,AGAINST,76
20/21,Newcastle,Callum Wilson goal disallowed for handball,AGAINST,92
20/21,Newcastle,Penalty awarded (scored by Joelinton) after incorrect offside against Allan Saint-Maximin,FOR,45
20/21,Southampton,Red card for Kyle Walker-Peters rescinded,FOR,51
20/21,Southampton,Goal (scored by Harry Kane) disallowed for offside against Son Heung-Min,FOR,3
20/21,Southampton,Penalty awarded (scored by Danny Ings) for handball by Matt Doherty,FOR,90
20/21,Southampton,Ezri Konsa own goal disallowed for offside against Che Adams,AGAINST,3
20/21,Southampton,Penalty conceded (scored by Danny Ings) after Solly March adjudged to have fouled Kyle Walker-Peters inside the area,FOR,80
20/21,Southampton,Goal (scored by Theo Walcott) disallowed for offside against Che Adams,AGAINST,85
20/21,Southampton,Penalty cancelled after Kayne Ramsay's foul on Edinson Cavani ruled outside the area,FOR,42
20/21,Southampton,Goal for Che Adams disallowed for offside,AGAINST,53
20/21,Southampton,Jan Bednarek sent off for denying an obvious goal-scoring opportunity,AGAINST,53
20/21,Southampton,Penalty cancelled after Diego Llorente adjudged not to have fouled Nathan Tella,AGAINST,33
20/21,Southampton,Michael Keane goal disallowed for offside in the build-up against Mason Holgate,FOR,25
20/21,Southampton,Penalty awarded (scored by Chris Wood) for foul on Erik Pieters by Kyle Walker-Peters,AGAINST,8
20/21,Southampton,Son Heung-Min goal disallowed for offside against Lucas Moura in the goalkeeper's line of vision,FOR,74
20/21,Southampton,Penalty awarded (scored by Son Heung-Min) after foul by Moussa Djenepo on Sergio Reguilon adjudged to be inside the area,AGAINST,86
20/21,West Ham,Yellow card for Tomas Soucek switched to Andriy Yarmolenko due to mistaken identity by the referee.,None,0
20/21,West Ham,Jamie Vardy offside in build-up to Harvey Barnes goal,FOR,90
20/21,West Ham,Diojo Jota goal disallowed for a foul by Sadio Mane,FOR,82
20/21,West Ham,Penalty awarded (missed by Ademola Lookman) for foul on Tom Cairney by Saïd Benrahma,AGAINST,95
20/21,West Ham,Ollie Watkins goal disallowed for offside,FOR,92
20/21,West Ham,Penalty retaken (scored by Mateusz Klich) for encroachment by Lukasz Fabianski,AGAINST,6
20/21,West Ham,Tomas Soucek sent off for elbow on Aleksandar Mitrovic,AGAINST,90
20/21,West Ham,Penalty cancelled after Craig Dawson ruled offside before being fouled by Edna Stevens,AGAINST,5
20/21,West Ham,Goal for Jesse Lingard allowed after incorrect offside,FOR,47
20/21,West Ham,Issa Diop goal ruled out for offside,AGAINST,54
20/21,West Ham,Penalty awarded (scored by Jesse Lingard) for handball by Ciaran Clark,FOR,76
20/21,West Ham,Fabian Balbuena yellow card upgraded to red for foul on Ben Chilwell,AGAINST,79
20/21,Tottenham Hotspur,Goal (scored by Harry Kane) disallowed for offside against Son Heung-Min,AGAINST,3
20/21,Tottenham Hotspur,Penalty awarded (scored by Danny Ings) for handball by Matt Doherty,AGAINST,90
